Shipment_ID,Order_Date,Promised_Delivery_Date,Actual_Delivery_Date,Delay_Days,Delay_Status,On_Time_Flag,Origin_City,Origin_State,Origin_Region,Destination_City,Destination_State,Destination_Region,Route_ID,Distance_Miles,Warehouse_ID,Warehouse_City,Warehouse_State,Carrier,Ship_Mode,Product_Category,Product_Weight_kg,Order_Value,Shipping_Cost,Customer_Segment,Customer_ID,Weather_Condition,Traffic_Condition
SHP-2022-0087296,2022-12-04,2022-12-09,,,,,Dallas,TX,South,Houston,TX,South,RT-0137,2481,WH-009,Minneapolis,MN,FedEx,Ground,Furniture,12.65,2169.01,32.2,B2B,CUST-05434,Rain,
SHP-2023-0245517,2023-01-18,2023-01-19,,,,,San Francisco,CA,West,Detroit,MI,Central,RT-0167,1045,WH-006,Seattle,WA,FedEx,Air,Automotive,221.94,12692.26,332.37,B2B,CUST-02628,Clear,Low
SHP-2024-0377788,2024-07-17,2024-07-25,,,,,Newark,NJ,East,Hartford,CT,East,RT-0069,493,WH-008,Houston,TX,UPS,Standard,Food & Beverage,174.11,10798.56,44.74,B2C,CUST-01360,Rain,High
SHP-2023-0366058,2023-11-03,2023-11-08,,,,,Las Vegas,NV,West,Detroit,MI,Central,RT-0092,1913,WH-007,Philadelphia,PA,UPS,Ground,Automotive,386.29,7066.65,149.39,Government,CUST-00300,,Low
SHP-2024-0405320,2024-09-24,2024-09-30,,,,,Nashville,TN,South,New York,NY,East,RT-0120,1777,WH-006,Seattle,WA,FedEx,Ground,Furniture,349.81,13604.84,147.78,Government,CUST-07800,Storm,Medium
SHP-2023-0358636,2023-02-22,2023-02-27,,,,,Kansas City,MO,Central,San Francisco,CA,West,RT-0118,58,WH-006,Seattle,WA,FedEx,Standard,Electronics,324.85,7610.46,95.05,B2C,CUST-01884,Clear,High
SHP-2022-0386975,2022-09-17,2022-09-25,,,,,Portland,OR,West,Philadelphia,PA,East,RT-0173,387,WH-006,Seattle,WA,OnTrac,Standard,Apparel,128.46,10184.11,46.42,B2C,CUST-01678,Clear,Low
SHP-2021-0113122,2021-03-06,2021-03-11,,,,,San Francisco,CA,West,Minneapolis,MN,Central,RT-0035,759,WH-001,Chicago,IL,UPS,Ground,Apparel,178.14,9699.11,54.13,Government,CUST-02871,Clear,Low
SHP-2021-0030957,2021-02-12,2021-02-19,,,,,Boston,MA,East,Dallas,TX,South,RT-0069,2954,WH-004,New York,NY,USPS,Ground,Food & Beverage,203.17,8223.57,67.49,B2C,CUST-02003,Snow,Medium
SHP-2023-0112983,2023-04-18,2023-04-26,,,,,Detroit,MI,Central,Dallas,TX,South,RT-0021,1006,WH-004,New York,NY,DHL,Standard,Electronics,347.03,6617.26,72.18,B2C,CUST-07047,Clear,Medium
SHP-2021-0175688,2021-09-05,2021-09-12,,,,,Phoenix,AZ,West,Newark,NJ,East,RT-0015,1566,WH-009,Minneapolis,MN,DHL,Ground,Automotive,105.07,2355.16,65.45,B2C,CUST-03325,Clear,High
SHP-2021-0440657,2021-04-02,2021-04-09,,,,,Kansas City,MO,Central,Hartford,CT,East,RT-0039,2054,WH-002,Dallas,TX,UPS,Ground,Industrial,364.17,4406.08,76.19,Government,CUST-03499,Rain,Medium
SHP-2023-0293663,2023-03-06,2023-03-10,,,,,San Francisco,CA,West,Philadelphia,PA,East,RT-0013,1601,WH-004,New York,NY,FedEx,Ground,Apparel,287.55,9171.69,128.87,B2C,CUST-02696,Clear,High
SHP-2023-0413267,2023-08-05,2023-08-08,,,,,New York,NY,East,Los Angeles,CA,West,RT-0036,1910,WH-004,New York,NY,UPS,Express,Electronics,115.54,2914.42,169.38,B2C,CUST-07676,Clear,Medium
SHP-2023-0148077,2023-04-06,2023-04-12,,,,,Boston,MA,East,Seattle,WA,West,RT-0168,519,WH-007,Philadelphia,PA,USPS,Standard,Electronics,301.39,13234.43,73.81,B2C,CUST-06490,Rain,Medium
SHP-2022-0062898,2022-10-01,2022-10-09,,,,,Seattle,WA,West,Boston,MA,East,RT-0180,2060,WH-005,Atlanta,GA,FedEx,Standard,Furniture,43.11,7872.37,13.86,B2C,CUST-02134,Rain,High
SHP-2021-0260426,2021-06-13,2021-06-18,,,,,Kansas City,MO,Central,Portland,OR,West,RT-0071,1594,WH-005,Atlanta,GA,DHL,Standard,Furniture,43.92,9546.74,22.16,B2C,CUST-04676,Clear,Low
SHP-2022-0050420,2022-11-17,2022-11-21,,,,,Charlotte,NC,South,Newark,NJ,East,RT-0062,235,WH-001,Chicago,IL,UPS,Ground,Food & Beverage,344.49,8358.33,124.2,B2B,CUST-00093,Clear,Medium
SHP-2023-0050229,2023-03-16,2023-03-19,,,,,Seattle,WA,West,Kansas City,MO,Central,RT-0023,2331,WH-005,Atlanta,GA,USPS,Express,Automotive,48.24,12925.61,114.72,B2C,CUST-03218,,Low
SHP-2022-0333609,2022-06-16,2022-06-22,,,,,Hartford,CT,East,Detroit,MI,Central,RT-0161,1449,WH-002,Dallas,TX,OnTrac,Standard,Apparel,317.25,4575.45,56.71,B2C,CUST-07536,Clear,Low
SHP-2021-0032080,2021-11-20,2021-11-24,,,,,Houston,TX,South,New York,NY,East,RT-0078,900,WH-005,Atlanta,GA,OnTrac,Ground,Electronics,74.64,6323.53,58.08,B2C,CUST-06879,Snow,High
SHP-2022-0125789,2022-11-16,2022-11-20,,,,,Detroit,MI,Central,Dallas,TX,South,RT-0032,2538,WH-007,Philadelphia,PA,USPS,Ground,Industrial,473.82,4376.03,160.54,B2B,CUST-07205,Clear,Low
SHP-2024-0380249,2024-10-06,2024-10-10,,,,,Minneapolis,MN,Central,Newark,NJ,East,RT-0034,687,WH-007,Philadelphia,PA,UPS,Ground,Medical Supplies,193.58,5738.4,79.29,B2C,CUST-05324,Fog,Medium
SHP-2024-0288687,2024-09-15,2024-09-19,,,,,Atlanta,GA,South,Baltimore,MD,East,RT-0188,2399,WH-005,Atlanta,GA,USPS,Ground,Electronics,73.63,9793.07,20.65,B2B,CUST-04759,Fog,Low
SHP-2023-0069131,2023-08-23,2023-08-27,,,,,Nashville,TN,South,Las Vegas,NV,West,RT-0092,2980,WH-006,Seattle,WA,UPS,Ground,Apparel,278.97,200.21,37.83,B2C,CUST-00310,Clear,
SHP-2022-0261633,2022-04-21,2022-04-25,,,,,Atlanta,GA,South,Hartford,CT,East,RT-0046,137,WH-007,Philadelphia,PA,OnTrac,Ground,Industrial,2.25,8989.58,39.7,B2C,CUST-02028,Rain,Low
SHP-2022-0073254,2022-08-30,2022-09-02,,,,,New York,NY,East,Newark,NJ,East,RT-0174,2944,WH-008,Houston,TX,UPS,Express,Apparel,458.26,11382.55,385.94,B2B,CUST-04113,Clear,High
SHP-2023-0115131,2023-03-15,2023-03-21,,,,,Kansas City,MO,Central,Houston,TX,South,RT-0029,1761,WH-008,Houston,TX,FedEx,Ground,Apparel,466.42,13660.65,125.47,B2B,CUST-03499,Clear,Low
SHP-2024-0112414,2024-05-09,2024-05-18,,,,,Los Angeles,CA,West,Atlanta,GA,South,RT-0085,2317,WH-001,Chicago,IL,DHL,Standard,Industrial,471.66,4335.69,129.54,B2B,CUST-03457,Clear,High
SHP-2021-0292333,2021-04-25,2021-05-01,,,,,Hartford,CT,East,Columbus,OH,Central,RT-0172,655,WH-003,Los Angeles,CA,UPS,Ground,Automotive,291.92,7638.73,48.6,B2C,CUST-07538,Clear,Low
SHP-2022-0041665,2022-07-07,2022-07-09,,,,,Nashville,TN,South,Seattle,WA,West,RT-0169,1362,WH-008,Houston,TX,FedEx,Express,Furniture,332.39,13645.78,255.78,Government,CUST-07763,Clear,Low
SHP-2021-0162529,2021-11-28,2021-12-04,,,,,Houston,TX,South,Los Angeles,CA,West,RT-0001,247,WH-006,Seattle,WA,DHL,Standard,Automotive,105.18,11984.72,46.2,B2B,CUST-02039,Clear,Medium
SHP-2021-0123800,2021-01-23,2021-01-27,,,,,Las Vegas,NV,West,Kansas City,MO,Central,RT-0074,866,WH-008,Houston,TX,UPS,Ground,Furniture,60.99,4083.4,23.29,Government,CUST-01560,Clear,Low
SHP-2022-0084932,2022-12-25,2022-12-29,,,,,Portland,OR,West,Portland,OR,West,RT-0099,2220,WH-009,Minneapolis,MN,FedEx,Ground,Pharmaceuticals,92.92,13564.62,27.22,B2C,CUST-01062,,Medium
SHP-2022-0155175,2022-12-21,2022-12-30,,,,,Charlotte,NC,South,Miami,FL,South,RT-0061,2629,WH-003,Los Angeles,CA,FedEx,Standard,Electronics,31.59,10201.54,40.78,B2B,CUST-07197,Rain,High
SHP-2023-0168241,2023-10-05,2023-10-11,,,,,Indianapolis,IN,Central,Seattle,WA,West,RT-0010,1002,WH-009,Minneapolis,MN,USPS,Standard,Food & Beverage,151.64,3048.73,24.52,B2B,CUST-02990,Clear,Medium
SHP-2023-0391356,2023-01-13,2023-01-22,,,,,Columbus,OH,Central,Detroit,MI,Central,RT-0080,2678,WH-005,Atlanta,GA,FedEx,Standard,Industrial,396.94,9603.84,114.25,B2B,CUST-00873,Clear,High
SHP-2022-0389983,2022-12-08,2022-12-11,,,,,Philadelphia,PA,East,Philadelphia,PA,East,RT-0152,882,WH-003,Los Angeles,CA,USPS,Express,Electronics,324.59,2793.0,133.54,B2B,CUST-03208,Rain,High
SHP-2022-0199703,2022-10-09,2022-10-15,,,,,New York,NY,East,Chicago,IL,Central,RT-0136,2423,WH-007,Philadelphia,PA,FedEx,Ground,Apparel,71.41,6165.31,69.67,B2C,CUST-00810,Clear,
SHP-2021-0127024,2021-11-01,2021-11-06,,,,,Las Vegas,NV,West,Phoenix,AZ,West,RT-0030,806,WH-004,New York,NY,DHL,Ground,Furniture,158.42,1621.73,55.88,B2C,CUST-04505,Rain,Severe
SHP-2024-0273719,2024-11-26,2024-12-01,,,,,Minneapolis,MN,Central,Charlotte,NC,South,RT-0130,116,WH-007,Philadelphia,PA,DHL,Ground,Medical Supplies,84.66,537.45,42.18,B2B,CUST-06103,Clear,High
SHP-2022-0363196,2022-06-25,2022-06-27,,,,,Las Vegas,NV,West,New York,NY,East,RT-0171,2261,WH-007,Philadelphia,PA,FedEx,Express,Medical Supplies,438.13,5077.08,205.55,B2B,CUST-05000,Snow,High
SHP-2022-0021019,2022-07-26,2022-07-27,,,,,Hartford,CT,East,Portland,OR,West,RT-0025,2798,WH-001,Chicago,IL,FedEx,Air,Electronics,205.78,1084.95,427.17,B2B,CUST-04212,Clear,High
SHP-2023-0208421,2023-09-13,2023-09-17,,,,,Los Angeles,CA,West,Nashville,TN,South,RT-0165,646,WH-003,Los Angeles,CA,DHL,Ground,Electronics,164.07,9687.23,92.57,B2C,CUST-02985,Rain,Medium
SHP-2023-0443677,2023-10-10,2023-10-17,,,,,Los Angeles,CA,West,Minneapolis,MN,Central,RT-0183,1739,WH-005,Atlanta,GA,DHL,Standard,Automotive,161.03,7363.95,28.45,B2B,CUST-00454,Clear,
SHP-2021-0040047,2021-09-23,2021-09-25,,,,,Charlotte,NC,South,Dallas,TX,South,RT-0085,1068,WH-003,Los Angeles,CA,DHL,Air,Automotive,130.61,10807.1,326.25,B2C,CUST-04435,Clear,High
SHP-2024-0372413,2024-05-27,2024-06-04,,,,,Dallas,TX,South,Newark,NJ,East,RT-0200,2760,WH-003,Los Angeles,CA,FedEx,Standard,Electronics,386.99,14444.07,52.66,Government,CUST-07168,,High
SHP-2021-0038774,2021-10-27,2021-11-01,,,,,Baltimore,MD,East,Atlanta,GA,South,RT-0110,2676,WH-006,Seattle,WA,USPS,Ground,Furniture,467.78,10256.23,125.94,B2B,CUST-04495,Clear,Medium
SHP-2022-0112966,2022-07-08,2022-07-09,,,,,Newark,NJ,East,Phoenix,AZ,West,RT-0178,2540,WH-003,Los Angeles,CA,UPS,Air,Furniture,153.13,5530.8,347.42,B2C,CUST-06039,,Medium
SHP-2021-0005443,2021-04-26,2021-05-02,,,,,Philadelphia,PA,East,Baltimore,MD,East,RT-0081,205,WH-001,Chicago,IL,USPS,Standard,Pharmaceuticals,283.53,2518.03,83.5,B2B,CUST-05855,Clear,Medium
SHP-2024-0361646,2024-08-23,2024-08-25,,,,,Nashville,TN,South,Minneapolis,MN,Central,RT-0110,2467,WH-005,Atlanta,GA,OnTrac,Express,Apparel,40.2,521.97,54.52,B2C,CUST-04580,Clear,Medium
SHP-2022-0326758,2022-06-04,2022-06-09,,,,,Charlotte,NC,South,Detroit,MI,Central,RT-0064,1136,WH-006,Seattle,WA,DHL,Ground,Food & Beverage,323.65,6977.34,75.22,B2B,CUST-00938,Clear,Low
SHP-2022-0133786,2022-03-21,2022-03-23,,,,,Las Vegas,NV,West,Philadelphia,PA,East,RT-0027,1108,WH-006,Seattle,WA,UPS,Air,Pharmaceuticals,272.8,10566.93,505.8,B2B,CUST-07516,Rain,Low
SHP-2023-0170509,2023-05-12,2023-05-16,,,,,Baltimore,MD,East,Philadelphia,PA,East,RT-0171,362,WH-005,Atlanta,GA,FedEx,Ground,Industrial,102.7,4224.9,66.0,B2C,CUST-02882,Rain,Medium
SHP-2022-0380211,2022-08-29,2022-09-04,,,,,Las Vegas,NV,West,Baltimore,MD,East,RT-0174,2816,WH-009,Minneapolis,MN,UPS,Ground,Electronics,367.96,12658.93,72.8,B2B,CUST-06856,Rain,Medium
SHP-2023-0287901,2023-08-03,2023-08-13,,,,,Boston,MA,East,Phoenix,AZ,West,RT-0190,2331,WH-006,Seattle,WA,UPS,Standard,Furniture,96.78,14070.36,48.68,B2C,CUST-07962,Fog,Severe
SHP-2021-0220250,2021-10-13,2021-10-14,,,,,Dallas,TX,South,Phoenix,AZ,West,RT-0042,607,WH-001,Chicago,IL,DHL,Air,Electronics,342.55,14751.87,244.49,B2C,CUST-04835,Clear,Medium
SHP-2021-0093357,2021-07-06,2021-07-15,,,,,Dallas,TX,South,Indianapolis,IN,Central,RT-0083,439,WH-004,New York,NY,USPS,Standard,Pharmaceuticals,215.09,1175.16,68.07,B2B,CUST-02950,Fog,Low
SHP-2023-0094097,2023-07-24,2023-07-27,,,,,Houston,TX,South,Las Vegas,NV,West,RT-0024,468,WH-008,Houston,TX,DHL,Express,Electronics,172.28,5843.9,186.52,Government,CUST-02941,Clear,Medium
SHP-2021-0324675,2021-10-07,2021-10-09,,,,,Seattle,WA,West,Newark,NJ,East,RT-0007,241,WH-007,Philadelphia,PA,FedEx,Air,Electronics,439.01,6983.42,354.88,B2C,CUST-07101,Clear,Medium
SHP-2021-0067438,2021-03-04,2021-03-11,,,,,Phoenix,AZ,West,Kansas City,MO,Central,RT-0059,588,WH-005,Atlanta,GA,DHL,Standard,Furniture,224.38,1122.61,45.62,B2C,CUST-00235,Clear,Medium
SHP-2022-0386665,2022-11-06,2022-11-09,,,,,Minneapolis,MN,Central,Baltimore,MD,East,RT-0063,1038,WH-008,Houston,TX,UPS,Express,Apparel,65.54,7629.95,108.97,B2B,CUST-01333,Clear,Medium
SHP-2022-0133473,2022-07-07,2022-07-08,,,,,Baltimore,MD,East,Atlanta,GA,South,RT-0058,1907,WH-003,Los Angeles,CA,FedEx,Air,Medical Supplies,52.38,12653.87,165.42,B2C,CUST-06813,Clear,Medium
SHP-2021-0180828,2021-03-17,2021-03-20,,,,,Los Angeles,CA,West,Hartford,CT,East,RT-0142,2338,WH-009,Minneapolis,MN,FedEx,Express,Medical Supplies,348.6,8870.83,145.17,B2C,CUST-01279,Snow,Medium
SHP-2021-0161482,2021-05-27,2021-06-02,,,,,Dallas,TX,South,Chicago,IL,Central,RT-0037,1055,WH-006,Seattle,WA,UPS,Standard,Furniture,364.05,5970.83,56.34,B2C,CUST-00003,Snow,High
SHP-2022-0104532,2022-09-24,2022-10-04,,,,,Phoenix,AZ,West,Seattle,WA,West,RT-0012,2814,WH-003,Los Angeles,CA,UPS,Standard,Automotive,327.0,1425.36,34.89,Government,CUST-01968,Clear,Severe
SHP-2024-0128493,2024-04-11,2024-04-20,,,,,Nashville,TN,South,Portland,OR,West,RT-0014,2249,WH-003,Los Angeles,CA,FedEx,Standard,Electronics,117.02,4640.03,28.04,B2C,CUST-07821,,Medium
SHP-2022-0013668,2022-09-29,2022-10-04,,,,,New York,NY,East,Charlotte,NC,South,RT-0001,422,WH-008,Houston,TX,UPS,Ground,Pharmaceuticals,252.53,5137.62,54.61,B2C,CUST-04077,Clear,Low
SHP-2023-0255551,2023-04-24,2023-04-28,,,,,Hartford,CT,East,Baltimore,MD,East,RT-0110,728,WH-004,New York,NY,FedEx,Ground,Industrial,428.58,5569.83,57.85,Government,CUST-06694,Snow,Medium
SHP-2024-0159224,2024-07-22,2024-07-27,,,,,Hartford,CT,East,Phoenix,AZ,West,RT-0144,2595,WH-009,Minneapolis,MN,FedEx,Ground,Pharmaceuticals,225.88,3108.04,53.64,B2C,CUST-00528,Clear,Medium
SHP-2022-0436628,2022-02-02,2022-02-12,,,,,Chicago,IL,Central,Hartford,CT,East,RT-0036,2333,WH-006,Seattle,WA,UPS,Standard,Furniture,326.84,7110.93,49.57,B2C,CUST-04719,Clear,Low
SHP-2021-0336407,2021-02-22,2021-02-25,,,,,Newark,NJ,East,New York,NY,East,RT-0184,1657,WH-009,Minneapolis,MN,UPS,Express,Electronics,419.04,12971.72,187.39,B2C,CUST-02690,Clear,Medium
SHP-2024-0231254,2024-04-07,2024-04-16,,,,,Las Vegas,NV,West,Portland,OR,West,RT-0086,1305,WH-006,Seattle,WA,UPS,Standard,Apparel,287.52,7121.71,95.99,B2C,CUST-03031,Snow,Low
SHP-2023-0349036,2023-10-14,2023-10-17,,,,,Phoenix,AZ,West,Miami,FL,South,RT-0099,2081,WH-004,New York,NY,OnTrac,Express,Automotive,349.76,12820.48,194.6,B2C,CUST-01508,Clear,Low
SHP-2024-0247366,2024-12-21,2024-12-24,,,,,New York,NY,East,Hartford,CT,East,RT-0069,575,WH-006,Seattle,WA,USPS,Express,Furniture,201.31,4664.68,166.75,B2B,CUST-02644,Clear,Low
SHP-2024-0428794,2024-05-27,2024-06-03,,,,,Nashville,TN,South,Atlanta,GA,South,RT-0184,377,WH-006,Seattle,WA,UPS,Ground,Electronics,200.61,2591.73,64.75,B2C,CUST-06843,Clear,Low
SHP-2021-0241929,2021-04-07,2021-04-08,,,,,New York,NY,East,Baltimore,MD,East,RT-0106,2594,WH-003,Los Angeles,CA,UPS,Air,Medical Supplies,364.75,11157.09,413.2,B2C,CUST-07590,Clear,Low
SHP-2024-0384043,2024-12-15,2024-12-22,,,,,Atlanta,GA,South,New York,NY,East,RT-0038,2193,WH-008,Houston,TX,UPS,Ground,Pharmaceuticals,495.98,14396.29,133.11,B2C,CUST-05860,Fog,Medium
SHP-2024-0356314,2024-03-30,2024-04-06,,,,,Seattle,WA,West,Seattle,WA,West,RT-0033,2275,WH-001,Chicago,IL,UPS,Ground,Electronics,443.52,160.09,63.6,B2C,CUST-02409,Clear,Medium
SHP-2023-0069450,2023-02-04,2023-02-09,,,,,Dallas,TX,South,Philadelphia,PA,East,RT-0106,851,WH-003,Los Angeles,CA,OnTrac,Standard,Automotive,40.96,14261.25,47.03,B2C,CUST-00995,Clear,Medium
SHP-2024-0410991,2024-04-27,2024-04-29,,,,,Columbus,OH,Central,Newark,NJ,East,RT-0148,1666,WH-004,New York,NY,DHL,Express,Furniture,373.03,12501.82,191.4,Government,CUST-03693,Snow,Low
SHP-2021-0249875,2021-05-07,2021-05-12,,,,,Charlotte,NC,South,Boston,MA,East,RT-0110,1033,WH-005,Atlanta,GA,FedEx,Ground,Furniture,415.87,11081.04,138.17,B2B,CUST-01432,Fog,Medium
SHP-2022-0434592,2022-08-03,2022-08-09,,,,,Phoenix,AZ,West,Hartford,CT,East,RT-0087,93,WH-006,Seattle,WA,UPS,Ground,Apparel,414.2,3780.61,133.27,B2B,CUST-02185,Clear,
SHP-2023-0256916,2023-09-22,2023-09-27,,,,,Indianapolis,IN,Central,Houston,TX,South,RT-0033,1642,WH-009,Minneapolis,MN,FedEx,Ground,Electronics,399.06,10081.34,65.63,B2C,CUST-02301,Clear,High
SHP-2022-0276771,2022-07-10,2022-07-14,,,,,Chicago,IL,Central,Philadelphia,PA,East,RT-0123,2196,WH-001,Chicago,IL,DHL,Ground,Medical Supplies,306.34,14587.67,104.64,B2C,CUST-01588,Rain,Low
SHP-2024-0028783,2024-12-02,2024-12-03,,,,,Boston,MA,East,Boston,MA,East,RT-0146,2369,WH-001,Chicago,IL,USPS,Air,Medical Supplies,262.06,29.5,347.19,Government,CUST-00447,Clear,Low
SHP-2023-0426948,2023-06-28,2023-07-04,,,,,Dallas,TX,South,New York,NY,East,RT-0163,924,WH-001,Chicago,IL,FedEx,Standard,Electronics,260.4,8468.59,75.9,B2B,CUST-06855,Snow,
SHP-2023-0125520,2023-10-19,2023-10-26,,,,,Dallas,TX,South,New York,NY,East,RT-0062,2060,WH-010,Phoenix,AZ,UPS,Ground,Medical Supplies,60.23,837.88,65.34,B2B,CUST-01290,Snow,High
SHP-2024-0354113,2024-08-18,2024-08-21,,,,,Chicago,IL,Central,Miami,FL,South,RT-0174,144,WH-004,New York,NY,FedEx,Express,Medical Supplies,302.95,4524.0,182.05,B2C,CUST-02353,Clear,Low
SHP-2022-0449960,2022-07-02,2022-07-07,,,,,Los Angeles,CA,West,San Francisco,CA,West,RT-0092,474,WH-007,Philadelphia,PA,OnTrac,Ground,Food & Beverage,105.22,1809.8,27.94,B2C,CUST-07993,Storm,Low
SHP-2024-0102623,2024-09-10,2024-09-15,,,,,Phoenix,AZ,West,Las Vegas,NV,West,RT-0163,2633,WH-001,Chicago,IL,FedEx,Standard,Pharmaceuticals,346.47,12460.98,91.19,B2B,CUST-06327,Clear,Medium
SHP-2022-0317930,2022-11-13,2022-11-18,,,,,Las Vegas,NV,West,Detroit,MI,Central,RT-0074,1369,WH-006,Seattle,WA,USPS,Ground,Apparel,176.22,1209.37,44.5,B2C,CUST-03147,Rain,Severe
SHP-2024-0135769,2024-04-12,2024-04-17,,,,,Seattle,WA,West,Charlotte,NC,South,RT-0159,1250,WH-001,Chicago,IL,USPS,Standard,Furniture,115.73,3019.18,54.9,B2B,CUST-00358,Clear,Medium
SHP-2022-0215204,2022-02-03,2022-02-09,,,,,Phoenix,AZ,West,Boston,MA,East,RT-0128,1662,WH-003,Los Angeles,CA,OnTrac,Ground,Industrial,460.42,14888.88,151.04,B2B,CUST-01447,,Medium
SHP-2023-0158294,2023-06-16,2023-06-19,,,,,Detroit,MI,Central,Nashville,TN,South,RT-0037,649,WH-009,Minneapolis,MN,UPS,Express,Apparel,299.47,10530.49,131.26,B2B,CUST-03693,Rain,Severe
SHP-2021-0393343,2021-06-18,2021-06-22,,,,,New York,NY,East,Indianapolis,IN,Central,RT-0097,2319,WH-006,Seattle,WA,OnTrac,Ground,Automotive,82.85,11442.98,49.04,B2C,CUST-03660,Snow,High
SHP-2024-0322312,2024-12-23,2024-12-29,,,,,Columbus,OH,Central,Boston,MA,East,RT-0128,1623,WH-001,Chicago,IL,DHL,Ground,Furniture,341.43,6305.04,61.44,B2C,CUST-02009,Rain,High
SHP-2023-0449829,2023-05-28,2023-06-05,,,,,Seattle,WA,West,Dallas,TX,South,RT-0042,54,WH-006,Seattle,WA,FedEx,Standard,Pharmaceuticals,261.75,11276.86,31.7,B2C,CUST-04735,Clear,High
SHP-2022-0088856,2022-05-01,2022-05-07,,,,,Minneapolis,MN,Central,Seattle,WA,West,RT-0142,645,WH-006,Seattle,WA,UPS,Ground,Electronics,331.6,10174.79,117.43,B2C,CUST-07680,Clear,Medium
SHP-2023-0324652,2023-01-27,2023-02-02,,,,,Nashville,TN,South,Nashville,TN,South,RT-0024,1169,WH-005,Atlanta,GA,UPS,Ground,Electronics,44.98,9620.24,32.07,Government,CUST-02216,,High
SHP-2022-0039575,2022-03-28,2022-04-04,,,,,Philadelphia,PA,East,Kansas City,MO,Central,RT-0162,754,WH-002,Dallas,TX,USPS,Ground,Furniture,446.3,917.81,93.28,B2B,CUST-02879,Clear,Medium
SHP-2024-0156844,2024-07-04,2024-07-14,,,,,New York,NY,East,Boston,MA,East,RT-0018,1393,WH-009,Minneapolis,MN,DHL,Standard,Medical Supplies,350.06,14921.31,103.12,B2C,CUST-04571,,High
SHP-2024-0279172,2024-06-15,2024-06-22,,,,,Kansas City,MO,Central,Detroit,MI,Central,RT-0168,795,WH-004,New York,NY,USPS,Ground,Furniture,489.26,8284.67,126.84,B2C,CUST-03764,Clear,Low
SHP-2022-0064485,2022-07-27,2022-08-02,,,,,New York,NY,East,Minneapolis,MN,Central,RT-0168,2167,WH-002,Dallas,TX,USPS,Ground,Food & Beverage,250.2,7033.68,114.58,B2C,CUST-04625,Clear,Low
SHP-2022-0075171,2022-08-18,2022-08-21,,,,,Baltimore,MD,East,Philadelphia,PA,East,RT-0196,2647,WH-005,Atlanta,GA,UPS,Express,Furniture,33.76,11225.36,81.49,B2C,CUST-02741,Clear,Severe
